trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
45,False,"{'a': 0.9, 'e': 0.10467395472325498}",20,11,-31.461739195024087,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
46,False,"{'a': 0.9, 'e': 0.09944025698709223}",25,5,31.073059013745837,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.9, 'e': 0.09446824413773762}",25,17,8.723655305099566,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.9, 'e': 0.08974483193085074}",30,17,27.346667733397236,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.9, 'e': 0.0852575903343082}",20,16,9.359212509468929,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.9, 'e': 0.08099471081759278}",20,15,8.596942164700206,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.9, 'e': 0.07694497527671314}",20,8,19.328604344008564,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.9, 'e': 0.07309772651287748}",30,13,13.758970538631146,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.9, 'e': 0.0694428401872336}",25,15,17.861347113152164,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.9, 'e': 0.0659706981778719}",20,7,-20.08342152158563,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
55,False,"{'a': 0.9, 'e': 0.0626721632689783}",25,0,32.98163061563343,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
56,False,"{'a': 0.9, 'e': 0.059538555105529384}",25,14,18.30465260693409,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.9, 'e': 0.05656162735025291}",25,8,-13.506205210309068,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
58,False,"{'a': 0.9, 'e': 0.053733545982740265}",25,13,23.5037822456569,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.9, 'e': 0.05104686868360325}",20,3,24.194175514856493,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.9, 'e': 0.04849452524942309}",25,0,18.09122556314592,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,31.260819629230753,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,6,29.000227273882583,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,16,10.754548956925682,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,12,12.544941749134654,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,8,21.061952537898172,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,4,41.54223120971005,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,0,41.222045967432315,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,7,27.157220738550848,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,14,27.51402027044295,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,11,24.784800313032775,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
